Training loss=2.050951
Validation loss=2.626136
Min Validation loss=2.602863
Iteration of min validation loss=3380

Iterations trained=3743
Duration=642:20

Number of training examples=2925
Number of validation examples=100

Batch size=10
Learning rate=0.001000
Number of input (T)=80

Number of hidden layers=2
Number of hidden units per year=300

Iter=1, Training Loss=7.611105, Validation Loss=7.687644, Time Elapsed=00:07
Iter=61, Training Loss=6.587471, Validation Loss=6.601119, Time Elapsed=02:18
Iter=62, Training Loss=6.708581, Validation Loss=6.601119, Time Elapsed=02:20
Iter=63, Training Loss=6.724852, Validation Loss=6.601119, Time Elapsed=02:22
Iter=64, Training Loss=6.626483, Validation Loss=6.601119, Time Elapsed=02:24
Iter=65, Training Loss=6.595457, Validation Loss=6.601119, Time Elapsed=02:26
Iter=66, Training Loss=6.814234, Validation Loss=6.601119, Time Elapsed=02:28
Iter=67, Training Loss=6.689593, Validation Loss=6.601119, Time Elapsed=02:30
Iter=68, Training Loss=6.424536, Validation Loss=6.601119, Time Elapsed=02:31
Iter=69, Training Loss=6.360774, Validation Loss=6.601119, Time Elapsed=02:33
Iter=70, Training Loss=6.509676, Validation Loss=6.601119, Time Elapsed=02:35
Iter=71, Training Loss=6.755746, Validation Loss=6.665853, Time Elapsed=02:40
Iter=72, Training Loss=6.305312, Validation Loss=6.665853, Time Elapsed=02:42
Iter=73, Training Loss=6.441478, Validation Loss=6.665853, Time Elapsed=02:44
Iter=74, Training Loss=6.525214, Validation Loss=6.665853, Time Elapsed=02:46
Iter=75, Training Loss=6.456488, Validation Loss=6.665853, Time Elapsed=02:48
Iter=76, Training Loss=6.267724, Validation Loss=6.665853, Time Elapsed=02:50
Iter=77, Training Loss=6.629121, Validation Loss=6.665853, Time Elapsed=02:52
Iter=78, Training Loss=6.612226, Validation Loss=6.665853, Time Elapsed=02:53
Iter=79, Training Loss=6.299805, Validation Loss=6.665853, Time Elapsed=02:55
Iter=80, Training Loss=6.298630, Validation Loss=6.665853, Time Elapsed=02:57
Iter=81, Training Loss=6.564012, Validation Loss=6.520565, Time Elapsed=03:02
Iter=82, Training Loss=6.585384, Validation Loss=6.520565, Time Elapsed=03:04
Iter=83, Training Loss=6.270892, Validation Loss=6.520565, Time Elapsed=03:06
Iter=84, Training Loss=6.529360, Validation Loss=6.520565, Time Elapsed=03:08
Iter=85, Training Loss=6.397259, Validation Loss=6.520565, Time Elapsed=03:10
Iter=86, Training Loss=6.199816, Validation Loss=6.520565, Time Elapsed=03:12
Iter=87, Training Loss=6.420019, Validation Loss=6.520565, Time Elapsed=03:14
Iter=88, Training Loss=6.601372, Validation Loss=6.520565, Time Elapsed=03:16
Iter=89, Training Loss=6.528788, Validation Loss=6.520565, Time Elapsed=03:18
Iter=90, Training Loss=6.749583, Validation Loss=6.520565, Time Elapsed=03:19
Iter=91, Training Loss=6.323109, Validation Loss=6.389234, Time Elapsed=03:24
Iter=92, Training Loss=6.446576, Validation Loss=6.389234, Time Elapsed=03:26
Iter=93, Training Loss=6.334525, Validation Loss=6.389234, Time Elapsed=03:28
Iter=94, Training Loss=6.782347, Validation Loss=6.389234, Time Elapsed=03:30
Iter=95, Training Loss=6.652040, Validation Loss=6.389234, Time Elapsed=03:32
Iter=96, Training Loss=6.459187, Validation Loss=6.389234, Time Elapsed=03:34
Iter=97, Training Loss=6.685584, Validation Loss=6.389234, Time Elapsed=03:36
Iter=98, Training Loss=6.284469, Validation Loss=6.389234, Time Elapsed=03:37
Iter=99, Training Loss=6.908214, Validation Loss=6.389234, Time Elapsed=03:39
Iter=100, Training Loss=6.449871, Validation Loss=6.389234, Time Elapsed=03:41
Iter=101, Training Loss=6.508365, Validation Loss=6.386112, Time Elapsed=03:46
Iter=102, Training Loss=6.258226, Validation Loss=6.386112, Time Elapsed=03:48
Iter=103, Training Loss=6.356857, Validation Loss=6.386112, Time Elapsed=03:50
Iter=104, Training Loss=6.341539, Validation Loss=6.386112, Time Elapsed=03:52
Iter=105, Training Loss=6.587761, Validation Loss=6.386112, Time Elapsed=03:54
Iter=106, Training Loss=6.249878, Validation Loss=6.386112, Time Elapsed=03:56
Iter=107, Training Loss=6.688416, Validation Loss=6.386112, Time Elapsed=03:57
Iter=108, Training Loss=6.253450, Validation Loss=6.386112, Time Elapsed=03:59
Iter=109, Training Loss=6.093037, Validation Loss=6.386112, Time Elapsed=04:01
Iter=110, Training Loss=6.067355, Validation Loss=6.386112, Time Elapsed=04:03
Iter=111, Training Loss=6.656279, Validation Loss=6.720622, Time Elapsed=04:08
Iter=112, Training Loss=6.793249, Validation Loss=6.720622, Time Elapsed=04:10
Iter=113, Training Loss=6.514331, Validation Loss=6.720622, Time Elapsed=04:12
Iter=114, Training Loss=6.021654, Validation Loss=6.720622, Time Elapsed=04:14
Iter=115, Training Loss=6.215342, Validation Loss=6.720622, Time Elapsed=04:15
Iter=116, Training Loss=6.056582, Validation Loss=6.720622, Time Elapsed=04:17
Iter=117, Training Loss=6.275293, Validation Loss=6.720622, Time Elapsed=04:19
Iter=118, Training Loss=6.686177, Validation Loss=6.720622, Time Elapsed=04:21
Iter=119, Training Loss=6.225337, Validation Loss=6.720622, Time Elapsed=04:23
Iter=120, Training Loss=6.029504, Validation Loss=6.720622, Time Elapsed=04:25
Iter=121, Training Loss=6.458346, Validation Loss=6.419697, Time Elapsed=04:30
Iter=122, Training Loss=6.521741, Validation Loss=6.419697, Time Elapsed=04:32
Iter=123, Training Loss=6.486931, Validation Loss=6.419697, Time Elapsed=04:34
Iter=124, Training Loss=6.541445, Validation Loss=6.419697, Time Elapsed=04:36
Iter=125, Training Loss=6.509053, Validation Loss=6.419697, Time Elapsed=04:37
Iter=126, Training Loss=6.724712, Validation Loss=6.419697, Time Elapsed=04:39
Iter=127, Training Loss=6.572126, Validation Loss=6.419697, Time Elapsed=04:41
Iter=128, Training Loss=6.305393, Validation Loss=6.419697, Time Elapsed=04:43
Iter=129, Training Loss=6.223884, Validation Loss=6.419697, Time Elapsed=04:45
Iter=130, Training Loss=6.045328, Validation Loss=6.419697, Time Elapsed=04:47
Iter=131, Training Loss=6.734164, Validation Loss=6.739764, Time Elapsed=04:52
Iter=132, Training Loss=6.851935, Validation Loss=6.739764, Time Elapsed=04:54
Iter=133, Training Loss=6.828135, Validation Loss=6.739764, Time Elapsed=04:56
Iter=134, Training Loss=6.512026, Validation Loss=6.739764, Time Elapsed=04:58
Iter=135, Training Loss=6.526056, Validation Loss=6.739764, Time Elapsed=04:59
Iter=136, Training Loss=6.118297, Validation Loss=6.739764, Time Elapsed=05:01
Iter=137, Training Loss=6.107296, Validation Loss=6.739764, Time Elapsed=05:03
Iter=138, Training Loss=6.351389, Validation Loss=6.739764, Time Elapsed=05:05
Iter=139, Training Loss=6.004711, Validation Loss=6.739764, Time Elapsed=05:07
Iter=140, Training Loss=6.196251, Validation Loss=6.739764, Time Elapsed=05:09
Iter=141, Training Loss=6.350334, Validation Loss=6.212478, Time Elapsed=05:14
Iter=142, Training Loss=6.258260, Validation Loss=6.212478, Time Elapsed=05:16
Iter=143, Training Loss=6.274830, Validation Loss=6.212478, Time Elapsed=05:18
Iter=144, Training Loss=6.041785, Validation Loss=6.212478, Time Elapsed=05:20
Iter=145, Training Loss=6.190441, Validation Loss=6.212478, Time Elapsed=05:21
Iter=146, Training Loss=6.485663, Validation Loss=6.212478, Time Elapsed=05:23
Iter=147, Training Loss=6.164288, Validation Loss=6.212478, Time Elapsed=05:25
Iter=148, Training Loss=6.347871, Validation Loss=6.212478, Time Elapsed=05:27
Iter=149, Training Loss=6.528965, Validation Loss=6.212478, Time Elapsed=05:29
Iter=150, Training Loss=6.188466, Validation Loss=6.212478, Time Elapsed=05:31
Iter=151, Training Loss=6.406899, Validation Loss=6.261227, Time Elapsed=05:36
Iter=152, Training Loss=6.178820, Validation Loss=6.261227, Time Elapsed=05:38
Iter=153, Training Loss=6.137197, Validation Loss=6.261227, Time Elapsed=05:39
Iter=154, Training Loss=6.025705, Validation Loss=6.261227, Time Elapsed=05:41
Iter=155, Training Loss=5.957692, Validation Loss=6.261227, Time Elapsed=05:43
Iter=156, Training Loss=6.249621, Validation Loss=6.261227, Time Elapsed=05:45
Iter=157, Training Loss=6.119707, Validation Loss=6.261227, Time Elapsed=05:47
Iter=158, Training Loss=6.062641, Validation Loss=6.261227, Time Elapsed=05:49
Iter=159, Training Loss=6.540090, Validation Loss=6.261227, Time Elapsed=05:51
Iter=160, Training Loss=6.198475, Validation Loss=6.261227, Time Elapsed=05:53
Iter=161, Training Loss=5.834541, Validation Loss=6.237374, Time Elapsed=05:58
Iter=162, Training Loss=6.354863, Validation Loss=6.237374, Time Elapsed=06:00
Iter=163, Training Loss=6.215792, Validation Loss=6.237374, Time Elapsed=06:01
Iter=164, Training Loss=6.282969, Validation Loss=6.237374, Time Elapsed=06:03
Iter=165, Training Loss=6.061749, Validation Loss=6.237374, Time Elapsed=06:05
Iter=166, Training Loss=6.153569, Validation Loss=6.237374, Time Elapsed=06:07
Iter=167, Training Loss=6.081393, Validation Loss=6.237374, Time Elapsed=06:09
Iter=168, Training Loss=5.930041, Validation Loss=6.237374, Time Elapsed=06:11
Iter=169, Training Loss=6.036405, Validation Loss=6.237374, Time Elapsed=06:13
Iter=170, Training Loss=5.782214, Validation Loss=6.237374, Time Elapsed=06:15
Iter=171, Training Loss=6.001035, Validation Loss=5.909071, Time Elapsed=06:20
Iter=172, Training Loss=6.218406, Validation Loss=5.909071, Time Elapsed=06:21
Iter=173, Training Loss=5.926725, Validation Loss=5.909071, Time Elapsed=06:23
Iter=174, Training Loss=5.492517, Validation Loss=5.909071, Time Elapsed=06:25
Iter=175, Training Loss=5.766620, Validation Loss=5.909071, Time Elapsed=06:27
Iter=176, Training Loss=5.797173, Validation Loss=5.909071, Time Elapsed=06:29
Iter=177, Training Loss=5.929252, Validation Loss=5.909071, Time Elapsed=06:31
Iter=178, Training Loss=5.801335, Validation Loss=5.909071, Time Elapsed=06:33
Iter=179, Training Loss=6.048515, Validation Loss=5.909071, Time Elapsed=06:35
Iter=180, Training Loss=5.832171, Validation Loss=5.909071, Time Elapsed=06:37
Iter=181, Training Loss=6.025877, Validation Loss=5.801835, Time Elapsed=06:42
Iter=182, Training Loss=5.899934, Validation Loss=5.801835, Time Elapsed=06:43
Iter=183, Training Loss=5.792312, Validation Loss=5.801835, Time Elapsed=06:45
Iter=184, Training Loss=6.291903, Validation Loss=5.801835, Time Elapsed=06:47
Iter=185, Training Loss=5.836932, Validation Loss=5.801835, Time Elapsed=06:49
Iter=186, Training Loss=5.358377, Validation Loss=5.801835, Time Elapsed=06:51
Iter=187, Training Loss=6.017004, Validation Loss=5.801835, Time Elapsed=06:53
Iter=188, Training Loss=6.314949, Validation Loss=5.801835, Time Elapsed=06:55
Iter=189, Training Loss=5.959884, Validation Loss=5.801835, Time Elapsed=06:57
Iter=190, Training Loss=5.626426, Validation Loss=5.801835, Time Elapsed=06:59
Iter=191, Training Loss=5.703021, Validation Loss=5.923194, Time Elapsed=07:04
Iter=192, Training Loss=5.723102, Validation Loss=5.923194, Time Elapsed=07:06
Iter=193, Training Loss=5.547682, Validation Loss=5.923194, Time Elapsed=07:08
Iter=194, Training Loss=5.741344, Validation Loss=5.923194, Time Elapsed=07:09
Iter=195, Training Loss=5.317192, Validation Loss=5.923194, Time Elapsed=07:11
Iter=196, Training Loss=5.485897, Validation Loss=5.923194, Time Elapsed=07:13
Iter=197, Training Loss=5.389389, Validation Loss=5.923194, Time Elapsed=07:15
Iter=198, Training Loss=5.345847, Validation Loss=5.923194, Time Elapsed=07:17
Iter=199, Training Loss=5.316240, Validation Loss=5.923194, Time Elapsed=07:19
Iter=200, Training Loss=5.466635, Validation Loss=5.923194, Time Elapsed=07:21
Iter=201, Training Loss=5.347384, Validation Loss=5.642867, Time Elapsed=07:26
Iter=202, Training Loss=4.988533, Validation Loss=5.642867, Time Elapsed=07:27
Iter=203, Training Loss=5.737294, Validation Loss=5.642867, Time Elapsed=07:29
Iter=204, Training Loss=5.568287, Validation Loss=5.642867, Time Elapsed=07:31
Iter=205, Training Loss=5.401451, Validation Loss=5.642867, Time Elapsed=07:33
Iter=206, Training Loss=5.342501, Validation Loss=5.642867, Time Elapsed=07:35
Iter=207, Training Loss=5.474954, Validation Loss=5.642867, Time Elapsed=07:37
Iter=208, Training Loss=5.417934, Validation Loss=5.642867, Time Elapsed=07:39
Iter=209, Training Loss=5.490208, Validation Loss=5.642867, Time Elapsed=07:41
Iter=210, Training Loss=5.411717, Validation Loss=5.642867, Time Elapsed=07:43
Iter=211, Training Loss=5.285887, Validation Loss=5.405854, Time Elapsed=07:47
Iter=212, Training Loss=5.248277, Validation Loss=5.405854, Time Elapsed=07:49
Iter=213, Training Loss=5.466663, Validation Loss=5.405854, Time Elapsed=07:51
Iter=214, Training Loss=5.532643, Validation Loss=5.405854, Time Elapsed=07:53
Iter=215, Training Loss=5.347843, Validation Loss=5.405854, Time Elapsed=07:55
Iter=216, Training Loss=5.254271, Validation Loss=5.405854, Time Elapsed=07:57
Iter=217, Training Loss=5.548085, Validation Loss=5.405854, Time Elapsed=07:59
Iter=218, Training Loss=5.340527, Validation Loss=5.405854, Time Elapsed=08:01
Iter=219, Training Loss=5.311689, Validation Loss=5.405854, Time Elapsed=08:03
Iter=220, Training Loss=5.402751, Validation Loss=5.405854, Time Elapsed=08:05
Iter=221, Training Loss=5.049543, Validation Loss=5.199245, Time Elapsed=08:09
Iter=222, Training Loss=5.171576, Validation Loss=5.199245, Time Elapsed=08:11
Iter=223, Training Loss=5.425144, Validation Loss=5.199245, Time Elapsed=08:14
Iter=224, Training Loss=5.171121, Validation Loss=5.199245, Time Elapsed=08:15
Iter=225, Training Loss=5.166399, Validation Loss=5.199245, Time Elapsed=08:17
Iter=226, Training Loss=5.210924, Validation Loss=5.199245, Time Elapsed=08:19
Iter=227, Training Loss=5.213730, Validation Loss=5.199245, Time Elapsed=08:21
Iter=228, Training Loss=5.139685, Validation Loss=5.199245, Time Elapsed=08:23
Iter=229, Training Loss=5.418292, Validation Loss=5.199245, Time Elapsed=08:25
Iter=230, Training Loss=4.770221, Validation Loss=5.199245, Time Elapsed=08:27
Iter=231, Training Loss=4.953577, Validation Loss=5.175146, Time Elapsed=08:32
Iter=232, Training Loss=5.011325, Validation Loss=5.175146, Time Elapsed=08:33
Iter=233, Training Loss=5.433537, Validation Loss=5.175146, Time Elapsed=08:35
Iter=234, Training Loss=5.079172, Validation Loss=5.175146, Time Elapsed=08:37
Iter=235, Training Loss=5.155954, Validation Loss=5.175146, Time Elapsed=08:39
Iter=236, Training Loss=5.227462, Validation Loss=5.175146, Time Elapsed=08:41
Iter=237, Training Loss=5.593472, Validation Loss=5.175146, Time Elapsed=08:43
Iter=238, Training Loss=5.139919, Validation Loss=5.175146, Time Elapsed=08:45
Iter=239, Training Loss=5.141905, Validation Loss=5.175146, Time Elapsed=08:47
Iter=240, Training Loss=4.985751, Validation Loss=5.175146, Time Elapsed=08:49
Iter=241, Training Loss=5.074402, Validation Loss=5.048552, Time Elapsed=08:54
Iter=242, Training Loss=5.085366, Validation Loss=5.048552, Time Elapsed=08:55
Iter=243, Training Loss=5.057247, Validation Loss=5.048552, Time Elapsed=08:57
Iter=244, Training Loss=4.983672, Validation Loss=5.048552, Time Elapsed=08:59
Iter=245, Training Loss=5.068510, Validation Loss=5.048552, Time Elapsed=09:01
Iter=246, Training Loss=5.392244, Validation Loss=5.048552, Time Elapsed=09:03
Iter=247, Training Loss=5.173153, Validation Loss=5.048552, Time Elapsed=09:05
Iter=248, Training Loss=4.773493, Validation Loss=5.048552, Time Elapsed=09:06
Iter=249, Training Loss=5.201227, Validation Loss=5.048552, Time Elapsed=09:08
Iter=250, Training Loss=4.832868, Validation Loss=5.048552, Time Elapsed=09:10
Iter=251, Training Loss=4.636353, Validation Loss=4.927362, Time Elapsed=09:14
Iter=252, Training Loss=4.828752, Validation Loss=4.927362, Time Elapsed=09:16
Iter=253, Training Loss=4.861733, Validation Loss=4.927362, Time Elapsed=09:18
Iter=254, Training Loss=4.843881, Validation Loss=4.927362, Time Elapsed=09:20
Iter=255, Training Loss=5.032320, Validation Loss=4.927362, Time Elapsed=09:22
Iter=256, Training Loss=4.632634, Validation Loss=4.927362, Time Elapsed=09:24
Iter=257, Training Loss=5.133820, Validation Loss=4.927362, Time Elapsed=09:26
Iter=258, Training Loss=5.141538, Validation Loss=4.927362, Time Elapsed=09:28
Iter=259, Training Loss=5.126092, Validation Loss=4.927362, Time Elapsed=09:30
Iter=260, Training Loss=4.720816, Validation Loss=4.927362, Time Elapsed=09:32
Iter=261, Training Loss=5.212766, Validation Loss=4.999644, Time Elapsed=09:36
Iter=262, Training Loss=4.912398, Validation Loss=4.999644, Time Elapsed=09:38
Iter=263, Training Loss=4.758183, Validation Loss=4.999644, Time Elapsed=09:40
Iter=264, Training Loss=4.689268, Validation Loss=4.999644, Time Elapsed=09:42
Iter=265, Training Loss=4.498664, Validation Loss=4.999644, Time Elapsed=09:44
Iter=266, Training Loss=4.703665, Validation Loss=4.999644, Time Elapsed=09:46
Iter=267, Training Loss=4.794605, Validation Loss=4.999644, Time Elapsed=09:48
Iter=268, Training Loss=4.930488, Validation Loss=4.999644, Time Elapsed=09:50
Iter=269, Training Loss=5.052705, Validation Loss=4.999644, Time Elapsed=09:52
Iter=270, Training Loss=4.966113, Validation Loss=4.999644, Time Elapsed=09:54
Iter=271, Training Loss=4.757046, Validation Loss=4.854844, Time Elapsed=09:58
Iter=272, Training Loss=4.618742, Validation Loss=4.854844, Time Elapsed=10:00
Iter=273, Training Loss=4.957605, Validation Loss=4.854844, Time Elapsed=10:02
Iter=274, Training Loss=5.133109, Validation Loss=4.854844, Time Elapsed=10:04
Iter=275, Training Loss=4.823366, Validation Loss=4.854844, Time Elapsed=10:06
Iter=276, Training Loss=4.414841, Validation Loss=4.854844, Time Elapsed=10:08
Iter=277, Training Loss=4.519222, Validation Loss=4.854844, Time Elapsed=10:10
Iter=278, Training Loss=4.831309, Validation Loss=4.854844, Time Elapsed=10:12
Iter=279, Training Loss=4.640814, Validation Loss=4.854844, Time Elapsed=10:14
Iter=280, Training Loss=5.003126, Validation Loss=4.854844, Time Elapsed=10:16
Iter=281, Training Loss=4.899309, Validation Loss=4.749498, Time Elapsed=10:20
Iter=282, Training Loss=4.699227, Validation Loss=4.749498, Time Elapsed=10:22
Iter=283, Training Loss=5.024925, Validation Loss=4.749498, Time Elapsed=10:24
Iter=284, Training Loss=4.631612, Validation Loss=4.749498, Time Elapsed=10:26
Iter=285, Training Loss=4.793096, Validation Loss=4.749498, Time Elapsed=10:28
Iter=286, Training Loss=4.592134, Validation Loss=4.749498, Time Elapsed=10:30
Iter=287, Training Loss=4.701581, Validation Loss=4.749498, Time Elapsed=10:32
Iter=288, Training Loss=5.019503, Validation Loss=4.749498, Time Elapsed=10:34
Iter=289, Training Loss=4.777667, Validation Loss=4.749498, Time Elapsed=10:36
Iter=290, Training Loss=4.385417, Validation Loss=4.749498, Time Elapsed=10:38
Iter=291, Training Loss=4.645080, Validation Loss=4.791809, Time Elapsed=10:42
Iter=292, Training Loss=4.537127, Validation Loss=4.791809, Time Elapsed=10:44
Iter=293, Training Loss=4.559901, Validation Loss=4.791809, Time Elapsed=10:46
Iter=294, Training Loss=4.657263, Validation Loss=4.791809, Time Elapsed=10:48
Iter=295, Training Loss=4.414703, Validation Loss=4.791809, Time Elapsed=10:50
Iter=296, Training Loss=4.661507, Validation Loss=4.791809, Time Elapsed=10:52
Iter=297, Training Loss=4.805855, Validation Loss=4.791809, Time Elapsed=10:54
Iter=298, Training Loss=5.116923, Validation Loss=4.791809, Time Elapsed=10:56
Iter=299, Training Loss=4.442195, Validation Loss=4.791809, Time Elapsed=10:58
Iter=300, Training Loss=4.376724, Validation Loss=4.791809, Time Elapsed=11:00
Iter=301, Training Loss=4.722561, Validation Loss=4.710059, Time Elapsed=11:04
Iter=302, Training Loss=4.809144, Validation Loss=4.710059, Time Elapsed=11:06
Iter=303, Training Loss=4.878915, Validation Loss=4.710059, Time Elapsed=11:08
Iter=304, Training Loss=4.648584, Validation Loss=4.710059, Time Elapsed=11:10
Iter=305, Training Loss=4.679189, Validation Loss=4.710059, Time Elapsed=11:12
Iter=306, Training Loss=4.392824, Validation Loss=4.710059, Time Elapsed=11:14
Iter=307, Training Loss=4.338050, Validation Loss=4.710059, Time Elapsed=11:16
Iter=308, Training Loss=4.490248, Validation Loss=4.710059, Time Elapsed=11:18
Iter=309, Training Loss=4.442398, Validation Loss=4.710059, Time Elapsed=11:20
Iter=310, Training Loss=4.926804, Validation Loss=4.710059, Time Elapsed=11:22
Iter=311, Training Loss=4.802942, Validation Loss=4.655694, Time Elapsed=11:26
Iter=312, Training Loss=4.424757, Validation Loss=4.655694, Time Elapsed=11:28
Iter=313, Training Loss=4.523831, Validation Loss=4.655694, Time Elapsed=11:30
Iter=314, Training Loss=4.231176, Validation Loss=4.655694, Time Elapsed=11:32
Iter=315, Training Loss=4.445278, Validation Loss=4.655694, Time Elapsed=11:34
Iter=316, Training Loss=4.512080, Validation Loss=4.655694, Time Elapsed=11:36
Iter=317, Training Loss=4.818772, Validation Loss=4.655694, Time Elapsed=11:38
Iter=318, Training Loss=4.490632, Validation Loss=4.655694, Time Elapsed=11:40
Iter=319, Training Loss=4.900342, Validation Loss=4.655694, Time Elapsed=11:42
Iter=320, Training Loss=4.729359, Validation Loss=4.655694, Time Elapsed=11:43
Iter=321, Training Loss=4.623131, Validation Loss=4.633642, Time Elapsed=11:48
Iter=322, Training Loss=4.679118, Validation Loss=4.633642, Time Elapsed=11:50
Iter=323, Training Loss=4.030346, Validation Loss=4.633642, Time Elapsed=11:52
Iter=324, Training Loss=4.545923, Validation Loss=4.633642, Time Elapsed=11:54
Iter=325, Training Loss=4.756498, Validation Loss=4.633642, Time Elapsed=11:56
Iter=326, Training Loss=4.337718, Validation Loss=4.633642, Time Elapsed=11:58
Iter=327, Training Loss=4.336048, Validation Loss=4.633642, Time Elapsed=12:00
Iter=328, Training Loss=4.500322, Validation Loss=4.633642, Time Elapsed=12:02
Iter=329, Training Loss=4.466591, Validation Loss=4.633642, Time Elapsed=12:04
Iter=330, Training Loss=4.390232, Validation Loss=4.633642, Time Elapsed=12:06
Iter=331, Training Loss=4.354241, Validation Loss=4.380285, Time Elapsed=12:10
Iter=332, Training Loss=4.349455, Validation Loss=4.380285, Time Elapsed=12:12
Iter=333, Training Loss=4.269773, Validation Loss=4.380285, Time Elapsed=12:14
